id,nr_isos,tool,error_rates
15_3, 15, RATTLE, 1.2295181818181817
10_17,10,isONform,0.4745166666666667
11_14,11,isONform,0.25943529411764704
3_18, 3, RATTLE, 4.3671
2_5,2,isONform,0.9072500000000001
9_3,9,isONform,0.07374444444444445
15_18,15,isONform,0.26929444444444445
7_6, 7, RATTLE, 0.41685999999999995
15_10, 15, RATTLE, 0.9266181818181818
14_20, 14, RATTLE, 2.8955
12_4,12,isONform,0.2555769230769231
10_20,10,isONform,0.3134181818181818
13_3,13,isONform,0.5320349999999999
11_20,11,isONform,0.16210909090909092
10_1,10,isONform,0.25642
8_18,8,isONform,0.154675
9_18, 9, RATTLE, 2.9937
15_15,15,isONform,0.2310125
11_4,11,isONform,0.1799909090909091
6_9, 6, RATTLE, 0.3626833333333333
8_3, 8, RATTLE, 1.1068999999999998
11_16, 11, RATTLE, 2.7022142857142852
2_4, 2, RATTLE, 0.40065
13_12, 13, RATTLE, 2.5840666666666663
3_17,3,isONform,0.08146666666666667
6_2, 6, RATTLE, 3.01174
4_6, 4, RATTLE, 0.267475
13_15, 13, RATTLE, 1.769828571428571
7_1,7,isONform,0.3456142857142857
12_3,12,isONform,0.30353125000000003
10_3, 10, RATTLE, 1.6453000000000002
5_5, 5, RATTLE, 0.21676
4_4,4,isONform,0.05
4_20, 4, RATTLE, 0.140625
7_8,7,isONform,0.3215875
14_3, 14, RATTLE, 3.3127333333333335
8_9, 8, RATTLE, 0.392925
3_3, 3, RATTLE, 0.44403333333333334
8_10,8,isONform,0.18036666666666668
7_12, 7, RATTLE, 0.26548571428571427
8_2,8,isONform,0.7643166666666668
10_8, 10, RATTLE, 3.2635199999999998
12_11,12,isONform,0.07198333333333333
2_9, 2, RATTLE, 1.3636
12_6,12,isONform,0.7111850000000002
13_2, 13, RATTLE, 1.7603000000000002
7_13, 7, RATTLE, 0.32759999999999995
7_17,7,isONform,0.21107142857142858
10_8,10,isONform,0.13246
5_10, 5, RATTLE, 0.30708
7_15,7,isONform,0.4157
5_6,5,isONform,0.06838
4_2, 4, RATTLE, 0.44285
4_16,4,isONform,0.1219
8_19, 8, RATTLE, 0.540475
3_9,3,isONform,0.5713
11_19, 11, RATTLE, 2.2303
14_10, 14, RATTLE, 4.693475
8_7,8,isONform,0.19005
2_20,2,isONform,0.2051
2_10, 2, RATTLE, 0.10525
4_14,4,isONform,0.481025
5_13,5,isONform,0.17512
9_10,9,isONform,0.8663874999999999
6_14,6,isONform,0.06848571428571429
10_14, 10, RATTLE, 4.832566666666668
5_1, 5, RATTLE, 0.317575
8_8, 8, RATTLE, 1.2903
6_5,6,isONform,0.10611666666666668
10_9, 10, RATTLE, 4.3896749999999995
7_20,7,isONform,0.2406857142857143
6_10,6,isONform,0.23339999999999997
2_19, 2, RATTLE, 0.3409
5_17,5,isONform,0.16388
10_19,10,isONform,0.1256090909090909
12_2,12,isONform,0.269078947368421
6_5, 6, RATTLE, 1.0851
12_16,12,isONform,0.251625
8_17, 8, RATTLE, 2.4709
13_8, 13, RATTLE, 0.2695666666666667
6_4, 6, RATTLE, 0.3006
13_2,13,isONform,0.16052307692307693
14_7, 14, RATTLE, 2.1325166666666666
6_3,6,isONform,0.09265
3_2, 3, RATTLE, 0.7982333333333332
6_20,6,isONform,0.06931666666666667
11_8,11,isONform,0.39239285714285715
7_5,7,isONform,1.25349
15_10,15,isONform,0.47505652173913043
7_19, 7, RATTLE, 0.72458
3_8,3,isONform,1.482
4_16, 4, RATTLE, 0.22915
5_8, 5, RATTLE, 0.7278749999999999
10_1, 10, RATTLE, 0.6018222222222221
5_18, 5, RATTLE, 2.1841333333333335
11_2,11,isONform,0.31442857142857145
6_13,6,isONform,0.2805
14_5, 14, RATTLE, 2.481057142857143
14_13,14,isONform,0.42274117647058823
2_20, 2, RATTLE, 0.5305
11_10,11,isONform,0.1264888888888889
13_10,13,isONform,0.4789666666666667
14_3,14,isONform,0.31139999999999995
8_8,8,isONform,0.316625
2_19,2,isONform,0.0
12_13,12,isONform,0.4095842105263158
9_10, 9, RATTLE, 2.312942857142857
13_3, 13, RATTLE, 0.9743875
